2025-07-28 21:17:17,294 [INFO] etl.large_log_etl - Iniciando procesamiento streaming: data\sample.log.gz
2025-07-28 21:22:10,930 [INFO] etl.large_log_etl - Iniciando procesamiento streaming: data\sample.log.gz
2025-07-28 21:31:17,079 [INFO] etl.large_log_etl - Progreso: 4,300,000 líneas | parseadas: 4,300,000 | inválidas: 0 | errores >= 500: 1,432,823
2025-07-28 21:31:17,988 [INFO] etl.large_log_etl - Progreso: 4,400,000 líneas | parseadas: 4,400,000 | inválidas: 0 | errores >= 500: 1,466,238
2025-07-28 21:31:18,905 [INFO] etl.large_log_etl - Progreso: 4,500,000 líneas | parseadas: 4,500,000 | inválidas: 0 | errores >= 500: 1,499,389
2025-07-28 21:31:20,030 [INFO] etl.large_log_etl - Progreso: 4,600,000 líneas | parseadas: 4,600,000 | inválidas: 0 | errores >= 500: 1,532,746
2025-07-28 21:31:22,026 [INFO] etl.large_log_etl - Progreso: 4,700,000 líneas | parseadas: 4,700,000 | inválidas: 0 | errores >= 500: 1,566,194
2025-07-28 21:31:24,141 [INFO] etl.large_log_etl - Progreso: 4,800,000 líneas | parseadas: 4,800,000 | inválidas: 0 | errores >= 500: 1,599,751
2025-07-28 21:31:26,355 [INFO] etl.large_log_etl - Progreso: 4,900,000 líneas | parseadas: 4,900,000 | inválidas: 0 | errores >= 500: 1,633,123
2025-07-28 21:31:28,532 [INFO] etl.large_log_etl - Progreso: 5,000,000 líneas | parseadas: 5,000,000 | inválidas: 0 | errores >= 500: 1,666,369
2025-07-28 21:31:29,753 [INFO] etl.large_log_etl - Progreso: 5,000,000 líneas | parseadas: 5,000,000 | inválidas: 0 | errores >= 500: 1,666,369
2025-07-28 21:31:29,754 [INFO] etl.large_log_etl - Tiempo total: 65.31 s
2025-07-28 21:31:30,335 [INFO] etl.large_log_etl - Parquet escrito en: output\errors_summary.parquet | filas: 431,998
